event_type,duration_ms,amplitude_deg,is_regression
fixation,277.2013086376526,0.0,0
saccade,50.92826011256992,0.3243745454634066,0
fixation,248.36479256173166,0.0,0
saccade,48.02143473806407,2.8720616762237574,0
fixation,242.13658758839603,0.0,0
saccade,44.362634568814386,2.3568324469517,1
fixation,271.0790034075296,0.0,0
saccade,45.64563213388402,3.4890421573029915,0
fixation,382.1871583891351,0.0,0
saccade,26.672507109376586,3.8068847444202554,0
fixation,321.76271856458345,0.0,0
saccade,25.30109360400634,2.2606728842411004,0
fixation,348.5614494984046,0.0,0
saccade,28.168515241752544,1.488151040805602,1
fixation,269.01966034797596,0.0,0
saccade,31.85456411227919,2.9999078410943634,0
fixation,197.8198397522089,0.0,0
saccade,44.697172242266554,2.2321615608123295,0
fixation,275.4662795130491,0.0,0
saccade,47.359940945775,4.485248045067191,0
fixation,334.34726563546974,0.0,0
saccade,25.862235549840427,2.293784599728292,0
fixation,291.91180378652007,0.0,0
saccade,34.67947898449372,0.1,0
fixation,206.209944444932,0.0,0
saccade,41.05825104385185,1.6417755214635825,1
fixation,308.66428058742014,0.0,0
saccade,32.665121477005634,0.6805352699445548,0
fixation,470.712462381186,0.0,0
saccade,30.511505840906942,2.4647955154037833,0
fixation,328.1010436678162,0.0,0
saccade,45.12784381882541,3.87396817692754,0
fixation,330.1243042910637,0.0,0
saccade,28.13360580349488,1.1730495738805615,1
fixation,319.8031889027692,0.0,0
saccade,36.605184854099946,1.7120167059982103,0
